Permit Number,Permit Series,Permit Type,Permit Status,Issue Date,Valid To,House Number,On Street,From Street,To Street,Permittee Name,Permit Purpose,Location (WKT)
X162016048A24,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,,LORING PLACE,WEST  179 STREET,WEST BURNSIDE AVENUE,"LIBERTY ASHES, INC.", ,"LINESTRING (1008006.7694000006 250985.51060000062, 1007880.8706 250448.91380000114, 1007854.3320000023 250403.43819999695)"
X162016048A23,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/17/2016,02/22/2016,3273,WESTCHESTER AVENUE,BRUCKNER BOULEVARD,COLONIAL AVENUE,SANITATION SALVAGE CORP., ,"LINESTRING (1031884.0240000039 249950.49300000072, 1032004.9228000045 250029.13120000064)"
X162016048A22,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/17/2016,02/22/2016,3273,WESTCHESTER AVENUE,BRUCKNER BOULEVARD,COLONIAL AVENUE,SANITATION SALVAGE CORP., ,"LINESTRING (1031884.0240000039 249950.49300000072, 1032004.9228000045 250029.13120000064)"
X162016048A21,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,1101,SACKETT AVENUE,HAIGHT AVENUE,TOMLINSON AVENUE,SANITATION SALVAGE CORP., ,"LINESTRING (1025908.5243999958 247138.385800004, 1026130.4104000032 247275.12100000679)"
X162016048A20,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,467,EAST  157 STREET,ELTON AVENUE,   3 AVENUE,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1008176.4409999996 238462.94079999626, 1008448.6058000028 238350.98899999261)"
X162016048A19,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,748,TAYLOR AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1022317.8589999974 237780.87199999392, 1022173.8041999936 238559.20700000226)"
X162016048A18,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,3042,HOLLAND AVENUE,ADEE AVENUE,BURKE AVENUE,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1021514.3798000067 256152.19959999621, 1021528.8778000027 256783.70419999957)"
X162016048A17,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,976,TINTON AVENUE,EAST  163 STREET,EAST  165 STREET,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1011281.2639999986 239740.52359999716, 1011218.9158000052 239541.8341999948, 1011208.7091999948 239509.30859999359, 1011200.506400004 239483.16840000451, 1011160.5274000019 239355.76279999316, 1011151.4671999961 239326.88979999721, 1011141.9039999992 239296.41359999776, 1011135.5028000027 239276.01479999721, 1011126.5843999982 239247.59440000355, 1011106.0657999963 239182.20780000091, 1011096.5069999993 239151.74719999731, 1011058.1280000061 239029.445600003)"
X162016048A16,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,708 ,EAST  243 STREET,BARNES AVENUE,WHITE PLAINS ROAD,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1025983.7013999969 269527.77279999852, 1026486.141200006 269351.02120000124)"
X162016048A15,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,1976,CEDAR AVENUE,MDE NB EXIT    8,BEND,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1007158.4148000032 251122.66899999976, 1007152.6208000034 251457.66500000656)"
X162016048A14,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,3312,POLO PLACE,CAMPBELL DRIVE,STADIUM AVENUE,SANITATION SALVAGE CORP., ,"LINESTRING (1034111.1488000005 245341.23399999738, 1034699.1527999938 245441.69959999621)"
X162016048A13,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,1851,PHELAN PLACE,BILLINGSLEY TERRACE,BILLINGSLEY TERRACE,"CITY WASTE SERVICES OF NEW YORK, INC.", ,"LINESTRING (1007278.2373999953 250018.15680000186, 1007512.6464000046 250368.30040000379)"
X162016048A12,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,373,EAST  154 STREET,COURTLANDT AVENUE,MELROSE AVENUE,"CITY WASTE SERVICES OF NEW YORK, INC.", ,"LINESTRING (1006943.8843999952 238033.68140000105, 1007444.2769999951 237864.06399999559)"
X162016048A11,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,373,LURTING AVENUE,ESPLANADE,PELHAM PARKWAY,SANITATION SALVAGE CORP., ,"LINESTRING (1023214.363199994 251480.26999999583, 1023342.2370000035 251136.6060000062, 1023349.1299999952 251117.60680000484)"
X162016048A10,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,373,WEST  234 STREET,BROADWAY,KINGSBRIDGE AVENUE,"ROYAL WASTE SERVICES, INC.", ,"LINESTRING (1011122.1369999945 260515.00560000539, 1010775.8615999967 260768.56479999423)"
X162016048A09,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,1026 ,EAST  219 STREET,LACONIA AVENUE,PAULDING AVENUE,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1024469.9019999951 260263.93320000172, 1025167.5841999948 259971.11239999533)"
X162016048A08,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,325,EAST  194 STREET,BAINBRIDGE AVENUE,MARION AVENUE,GUMA CONSTRUCTION CORP., ,"LINESTRING (1014086.0647999942 254305.34960000217, 1014312.8227999955 254122.95499999821)"
